"am" "dmin" "dmax" "rv" "md" "ou" "moi" "jti" "eo" "ecc" "sma" "inc" "anl" "op" "pd" "pa" "ad" "pt" "ma" "mm" "haz"
"1" 21.6 0.1272198785 0.2844722965 6.1158343887 0.4194825299 5 0.0252819 4.634 2458000.5 0.425549083280269 1.40701130271298 6.02598128713833 314.373913413408 609.599786407648 0.808258932678493 57.2574698753955 2.00576367274746 2458161.64172049 264.837533298803 0.590551388020439 "True"
"2" 21.3 0.1460679643 0.3266178974 18.1139850263 0.3830144627 3 0.186935 5.457 2458000.5 0.351674304586862 1.10777595443772 28.4129963719904 136.717241656808 425.869294206679 0.718199616022788 313.091974830269 1.49735229285265 2457794.96943128 173.741111989174 0.845329787559862 "False"
"3" 20.3 0.2315021222 0.5176544822 7.5907111617 0.0509560159 0 0.0430579 4.557 2458000.5 0.348248261761996 1.45882381447481 4.23796100294792 259.475978945026 643.580228077368 0.950790956866954 248.415038112861 1.96685667208267 2458120.46754891 292.893653779441 0.559370820131414 "True"
"4" 27.4 0.0088014652 0.0196806745 11.1738744976 0.2853223297 6 0.0055118 5.093 2458000.5 0.216578307837878 1.25590288961358 7.90589434812512 57.1732661338825 514.082140365449 0.983901566972367 18.7077008717209 1.52790421225479 2457902.33743385 68.7410066177758 0.700277196449743 "False"
"5" 21.6 0.1272198785 0.2844722965 9.8408310539 0.4078321707 1 0.034798 5.154 2458000.5 0.210447943228487 1.22561473661833 16.7933816599912 84.6293067946083 495.597820944911 0.967686636106476 158.263596071329 1.48354283713018 2457814.45514869 135.142132675629 0.726395445632955 "True"
"6" 19.6 0.3195618867 0.7145621017 10.8088439585 0.3927847844 1 0.272213 4.724 2458000.5 0.563441073497892 1.32353217997078 17.927750640117 178.971950777003 556.160555844281 0.577799787679036 198.145969151027 2.06926457226252 2458009.40263451 354.237368343331 0.64729509530481 "False"
"7" 19.6 0.3195618867 0.7145621017 10.8088415879 0.392783196 1 0.272213 4.724 2458000.5 0.563441110074636 1.3235321619639 17.9277483790265 178.971952566791 556.160544494296 0.577799731407478 198.145959852676 2.06926459252032 2458009.40259136 354.237396160877 0.647295108514646 "False"
"8" 19.2 0.3841978911 0.8590926012 24.4218839949 0.1291791611 0 0.0987582 4.921 2458000.5 0.449762795996509 1.23747453629878 34.6951274528148 112.562984413088 502.808757899797 0.680904528878559 288.374651115604 1.79404454371901 2458242.43909867 186.7769322777 0.715977982371864 "False"
"9" 17.8 0.7320739893 1.6369672047 17.373783837 0.3582829267 0 0.109354 5.386 2458000.5 0.238179010434869 1.14555084926603 22.2152102907753 80.2111320916225 447.837012847765 0.872704681585025 353.422394104098 1.41839701694704 2458221.63640416 182.236431530959 0.803863882779104 "False"
"10" 21.5 0.1332155667 0.2978790628 12.8996097219 0.1518057418 0 0.0169065 6.623 2458000.5 0.551388806833007 0.876125366796483 2.0595769780108 2.61368236850676 299.535160736849 0.39303964616244 253.765937196532 1.35921108743053 2457900.77028218 119.861382303398 1.20186224253076 "True"
"11" 22.4 0.0880146521 0.1968067451 22.4213663146 0.2010399884 6 0.000317965 7.033 2458000.5 0.475819477408116 0.813876724903495 23.1856866807236 117.111224044554 268.18616502096 0.426618326985285 220.940370757969 1.20113512282171 2457996.36039277 5.55680641285155 1.34235112378696 "False"
"12" 25.8 0.0183888672 0.0411187571 17.2746114639 0.4310155871 4 0.00186378 5.122 2458000.5 0.204840678003045 1.24078931759474 13.7442332087249 161.933518574421 504.830395501296 0.9866251925197 13.9202125620725 1.49495344266979 2457935.03337072 46.6849594470471 0.713110785737297 "False"
"13" 25 0.02658 0.0594346868 12.1185099534 0.3598014121 6 0.0187898 6.384 2458000.5 0.326860711970322 0.930233744449396 8.33375355170627 20.4912708650555 327.707636118272 0.626176880439848 128.46312989278 1.23429060845894 2457939.71298557 66.7769767355413 1.09854016300699 "False"
"14" 19.1 0.4023045798 0.8995803882 10.8299262895 0.4306559914 0 0.214004 4.862 2458000.5 0.14935796270144 1.32292378805863 21.2652315535571 122.436833193692 555.777121989752 1.12533458626492 297.729853694896 1.52051298985234 2457976.98464612 15.2318745471015 0.647741667939038 "False"
"15" 18.8 0.4619074603 1.0328564805 39.6053279147 0.3009631412 0 0.102643 3.242 2458000.5 0.861093330570998 1.98273858428813 10.0226360409773 163.209923412356 1019.75680942201 0.275415613091837 199.371458696314 3.69006155548442 2457894.2264481 37.5172573806191 0.353025345527279 "False"
"16" 25.2 0.0242412481 0.0542050786 25.2112885836 0.4959739922 6 0.0119773 6.89 2458000.5 0.441694355101388 0.837557008127906 19.7675921075523 243.614950945384 279.975476316904 0.467612805562203 41.6483224835708 1.20750121069361 2457925.36752734 96.6073547316492 1.28582690432685 "False"
"17" 20 0.2658 0.5943468684 3.0890039286 0.2388244997 0 0.240288 3.788 2458000.5 0.377549360096731 1.95815425950041 5.66056115622866 112.164417027215 1000.84950652064 1.21885437185534 34.3069181516733 2.69745414714548 2457771.55338336 82.3508244282608 0.359694437230136 "False"
"18" 21 0.1677084622 0.3750075218 20.0192419349 0.4780869949 1 0.0984179 6.469 2458000.5 0.452792293084196 0.907864592986423 8.27869574002769 114.379829288388 315.95850124477 0.49679050211815 7.39232656370337 1.3189386838547 2457968.75708586 36.167563286157 1.13939013693799 "False"
"19" 22.3 0.0921626549 0.2060819612 8.5263208443 0.4612592433 3 0.0259126 5.372 2458000.5 0.259732319532909 1.16651991571092 5.03504422559492 28.8520216092119 460.189455793967 0.86353699222199 271.614674402996 1.46950283919985 2457770.91260726 179.603118557667 0.782286502803265 "False"
"20" 22.7 0.0766575574 0.1714115092 7.9195240447 0.1072710745 4 0.0525422 6.519 2458000.5 0.151415852407946 0.91373031635136 5.86041492289007 177.857302330491 319.025559179923 0.775377061630036 90.6412563445916 1.05208357107268 2458138.75597224 203.986951593741 1.12843623227369 "False"
"21" 26.1 0.0160160338 0.0358129403 4.6554785934 0.2554883015 5 0.018587 6.36 2458000.5 0.171432882636506 0.939138958853473 11.9477947670769 229.066321759446 332.4246440438 0.778139659940975 227.549974979706 1.10013825776597 2458042.50607822 314.509425128765 1.08295220119892 "False"
"22" 20.6 0.2016299194 0.4508582062 2.1643728488 0.4228501583 2 0.183818 3.753 2458000.5 0.407470352136872 1.97847130890162 4.06169556322702 142.259751083539 1016.46648087561 1.17230290797078 38.6604421772488 2.78463970983246 2457957.83503708 15.1105687601571 0.354168097790975 "False"
"23" 21.7 0.1214940408 0.2716689341 28.4189542612 0.0485413736 1 0.0128745 6.152 2453548.5 0.868418907496108 0.906733742515988 4.03507427018386 342.784208232154 315.368340772234 0.119309016450396 322.390495783912 1.69415846858158 2453597.57543235 303.979298610683 1.14152231995919 "True"
"24" 23.9 0.04411182 0.0986370281 10.551519772 0.0197382264 3 0.0109543 4.767 2458000.5 0.398820007994256 1.35791927755497 3.85434206898566 341.218636234598 577.97540442229 0.816353900424943 237.173316341656 1.899484654685 2457913.29812013 54.3149007946593 0.622863874908025 "False"
"25" 23.9 0.04411182 0.0986370281 17.5649076525 0.4340489593 1 0.0453154 6.298 2458000.5 0.3973810059712 0.940325840390895 11.6076647207195 195.370087214147 333.05501929346 0.566658211995647 315.241874319619 1.31399346878614 2458097.46735586 255.18774350847 1.08090249101695 "False"
"26" 21.3 0.1460679643 0.3266178974 19.223165458 0.1020481263 4 0.0140066 5.149 2458000.5 0.249424882723609 1.18399343738887 35.2402424959676 149.156559889337 470.5679773705 0.888676013122627 55.2165096210231 1.47931086165511 2457816.15545083 141.029651175065 0.765032933204793 "True"
"27" 26.989 0.0106354281 0.0237815402 7.1641480595 0.2115968709 7 0.0071428 5.874 2458000.5 0.317906125847402 1.03436766129103 4.0083147754906 322.714494471147 384.247303236346 0.705535845388161 249.017876486716 1.3631994771939 2457901.62354215 92.6370192437005 0.936896620920636 "False"
"28" 19.3 0.3669061375 0.8204270649 13.5763026447 0.3507449112 0 0.00132059 5.308 2458000.5 0.190284255403881 1.18956055949551 5.88390331782979 251.591106336594 473.890782663659 0.96320591417408 211.446773978635 1.41591520481694 2457797.75148002 154.021706818727 0.759668710955933 "True"
"29" 22.6 0.0802703167 0.1794898848 11.4702980441 0.0517703658 0 0.0341962 5.089 2458000.5 0.428252610682103 1.23493769405748 5.85041027803452 151.289241888537 501.263401798131 0.70607240254763 292.618451650223 1.76380298556734 2457751.68864294 178.692655839144 0.718185286834445 "False"
"30" 23.8 0.046190746 0.1032856481 11.9306425303 0.0975441157 0 0.052677 7.48 2455882.5 0.386458785654261 0.762974433618059 20.8337679202567 352.922365178322 243.424005908795 0.468116260516776 351.178810785606 1.05783260671934 2455988.21887087 203.652258647551 1.47890097632722 "False"
"31" 28.6 0.0050647146 0.0113250461 9.8741431619 0.1466999837 6 0.00220111 5.349 2458000.5 0.229959583978606 1.176188921427 1.99054843156458 336.873504697482 465.922896885845 0.905713006375406 120.062344755171 1.4466648364786 2457796.5160968 157.610208991109 0.772660031104252 "False"
"32" 21.2 0.1529519353 0.3420109247 15.938707162 0.1729029027 6 0.0667857 4.469 2458000.5 0.437398953051165 1.44241490519732 24.5684218807744 151.731913719287 632.752295183897 0.811504135798615 97.0778195684764 2.07332567459602 2458075.09040706 317.562308746124 0.568943017259816 "False"
"33" 22.8 0.0732073989 0.1636967205 11.7404134833 0.3331832833 6 0.0452308 6.708 2458000.5 0.513906570440738 0.865355364715251 6.81269289848036 64.1262750262719 294.028997023525 0.420643557021943 292.883188064574 1.31006717240856 2457885.99367027 140.198004684855 1.22436903721845 "False"
"34" 23.8 0.046190746 0.1032856481 11.9306119236 0.0975437554 0 0.0515902 7.48 2456125.5 0.386445066877329 0.762953501158754 20.8334083676283 352.920923471113 243.413988348722 0.468113884379167 351.17797994981 1.05779311793834 2456231.63338532 203.032773206024 1.4789618396304 "False"
